SYMBOL,ISIN
KAVVERITEL,INE641C01019
KAYA,INE587G01015
KCP,INE805C01028
KCPSUGIND,INE790B01024
KDDL,INE291D01011
KDDL-RE,INE291D20011
KEC,INE389H01022
KECL,INE134B01017
KEERTI,INE586X01012
KEI,INE878B01027
KELLTONTEC,INE164B01022
KENNAMET,INE717A01029
KERNEX,INE202H01019
KESORAMIND,INE087A01019
KEYFINSERV,INE681C01015
KHADIM,INE834I01025
KHAICHEM,INE745B01028
KHAITANLTD,INE731C01018
KHANDSE,INE060B01014
KICL,INE029L01018
KILITCH,INE729D01010
KINGFA,INE473D01015
KIOCL,INE880L01014
KIRIINDUS,INE415I01015
KIRLFER,INE884B01025
KIRLOSBROS,INE732A01036
KIRLOSENG,INE146L01010
KIRLOSIND,INE250A01039
KITEX,INE602G01020
KKCL,INE401H01017
KMSUGAR,INE157H01023
KNRCON,INE634I01029
KOHINOOR,INE080B01012
KOKUYOCMLN,INE760A01029
KOLTEPATIL,INE094I01018
KOPRAN,INE082A01010
KOTAKBANK,INE237A01028
KOTAKBKETF,INF174K01F59
KOTAKGOLD,INF373I01049
KOTAKIT,INF174KA1GC5
KOTAKNIFTY,INF174K014P6
KOTAKNV20,INF174K01Z71
KOTAKPSUBK,INF373I01023
KOTARISUG,INE419A01022
KOTHARIPET,INE720A01015
KOTHARIPRO,INE823A01017
KPITTECH,INE04I401011
KPRMILL,INE930H01023
KRBL,INE001B01026
KREBSBIO,INE268B01013
KRIDHANINF,INE524L01026
KRISHANA,INE506W01012
KSB,INE999A01015
KSCL,INE455I01029
KSERASERA,INE216D01026
KSL,INE907A01026
KSOLVES,INE0D6I01015
KTKBANK,INE614B01018
KUANTUM,INE529I01021
L&TFH,INE498L01015
L&TFINANCE,INE027E07899
L&TFINANCE,INE027E07931
L&TFINANCE,INE027E07956
L&TFINANCE,INE027E07972
L&TFINANCE,INE027E07AB2
L&TFINANCE,INE027E07AD8
L&TFINANCE,INE027E07AF3
L&TFINANCE,INE027E07AL1
L&TFINANCE,INE027E07AW8
L&TFINANCE,INE027E07BA2
L&TFINANCE,INE027E07BC8
LAGNAM,INE548Z01017
LALPATHLAB,INE600L01024
LAMBODHARA,INE112F01022
LAOPALA,INE059D01020
LASA,INE670X01014
LAURUSLABS,INE947Q01028
LAXMIMACH,INE269B01029
LCCINFOTEC,INE938A01021
LEMONTREE,INE970X01018
LEXUS,INE500X01013
LFIC,INE850E01012
LGBBROSLTD,INE337A01034
LGBFORGE,INE201J01017
LIBAS,INE908V01012
LIBERTSHOE,INE557B01019
LICHSGFIN,INE115A01026
LICNETFGSC,INF767K01MV5
LICNETFN50,INF767K01OS7
LICNETFSEN,INF767K01OT5
LICNFNHGP,INF767K01PC8
LIKHITHA,INE060901019
LINCOLN,INE405C01035
LINCPEN,INE802B01019
LINDEINDIA,INE473A01011
LIQUIDBEES,INF732E01037
LIQUIDETF,INF740KA1EU7
LODHA,INE670K01029
LOKESHMACH,INE397H01017
LOTUSEYE,INE947I01017
LOVABLE,INE597L01014
LPDC,INE197J01017
LSIL,INE093R01011
LT,INE018A01030
LTI,INE214T01019
LTTS,INE010V01017
LUMAXIND,INE162B01018
LUMAXTECH,INE872H01027
LUPIN,INE326A01037
LUXIND,INE150G01020
LXCHEM,INE576O01020
LYKALABS,INE933A01014
LYPSAGEMS,INE142K01011
M&M,INE101A01026
M&MFIN,INE774D01024
M100,INF247L01023
M14RG,INF903JA1971
M50,INF247L01536
MAANALU,INE215I01019
MACPOWER,INE155Z01011
MADHAV,INE925C01016
MADHUCON,INE378D01032
MADRASFERT,INE414A01015
MAESGETF,INF769K01GS9
MAGADSUGAR,INE347W01011
MAGMA,INE511C01022
MAGMA,INE511C07706
MAGMA,INE511C07714
MAGNUM,INE387I01016
MAHABANK,INE457A01014
MAHAPEXLTD,INE843B01013
MAHASTEEL,INE451L01014
MAHEPC,INE215D01010
MAHESHWARI,INE263W01010
MAHICKRA,INE961Y01015
MAHINDCIE,INE536H01010
MAHLIFE,INE813A01018
MAHLOG,INE766P01016
MAHSCOOTER,INE288A01013
MAHSEAMLES,INE271B01025
MAITHANALL,INE683C01011
MAITHANALL,INE683C01011
MAJESCO,INE898S01029
MALUPAPER,INE383H01017
MAN50ETF,INF769K01EG9
MANAKALUCO,INE859Q01017
MANAKCOAT,INE830Q01018
MANAKSIA,INE015D01022
MANAKSTEEL,INE824Q01011
MANALIPETC,INE201A01024
MANAPPURAM,INE522D01027
MANGALAM,INE584F01014
MANGCHEFER,INE558B01017
MANGLMCEM,INE347A01017
MANGTIMBER,INE805B01012
MANINDS,INE993A01026
MANINFRA,INE949H01023
MANUGRAPH,INE867A01022
MANXT50,INF769K01FN2
MARALOVER,INE882A01013
MARATHON,INE182D01020
MARICO,INE196A01026
MARINE,INE01JE01028
MARKSANS,INE750C01026
MARUTI,INE585B01010
MASFIN,INE348L01012
MASTEK,INE759A01021
MATRIMONY,INE866R01028
MAWANASUG,INE636A01039
MAXHEALTH,INE027H01010
MAXIND,INE0CG601016
MAXVIL,INE154U01015
MAYURUNIQ,INE040D01038
MAZDA,INE885E01034
MAZDOCK,INE249Z01012
MBAPL,INE900L01010
MBECL,INE748A01016
MBLINFRA,INE912H01013
MCDHOLDING,INE836H01014
MCDOWELL-N,INE854D01024
MCL,INE813V01022
MCLEODRUSS,INE942G01012
MCX,INE745G01035
MEGASOFT,INE933B01012
MEGH,INE974H01013
MELSTAR,INE817A01019
MENONBE,INE071D01033
MEP,INE776I01010
MERCATOR,INE934B01028
METALFORGE,INE425A01011
METROPOLIS,INE112L01020
MFSL,INE180A01020
MGEL,INE0APB01016
MGL,INE002S01010
MHHL,INE450S01011
MHRIL,INE998I01010
MIC,INE287C01029
MIDHANI,INE099Z01011
MILTON,INE376Y01016
MINDACORP,INE842C01021
MINDAIND,INE405E01023
MINDSPACE,INE0CCU25019
MINDTECK,INE110B01017
MINDTREE,INE018I01017
MIRCELECTR,INE831A01028
MIRZAINT,INE771A01026
MITTAL,INE997Y01019
MMFL,INE227C01017
MMP,INE511Y01018
MMTC,INE123F01029
MODIRUBBER,INE832A01018
MODISNME,INE737D01021
MOHITIND,INE954E01012
MOHOTAIND,INE313D01013
MOIL,INE490G01020
MOKSH,INE514Y01012
MOLDTECH,INE835B01035
MOLDTEKPP,IN9893J01019
MOLDTKPAC,INE893J01029
MOLDTKPAC,INE893J13016
MONTECARLO,INE950M01013
MORARJEE,INE161G01027
MOREPENLAB,INE083A01026
MOTHERSUMI,INE775A01035
MOTILALOFS,INE338I01027
MOTOGENFIN,INE861B01023
MPHASIS,INE356A01018
MPSLTD,INE943D01017
MPTODAY,INE105Y01019
MRF,INE883A01011
MRO-TEK,INE398B01018
MRPL,INE103A01014
MSPL,INE752G01015
MSTCLTD,INE255X01014
MTARTECH,INE864I01014
MTEDUCARE,INE472M01018
MTNL,INE153A01019
MUKANDENGG,INE022B01014
MUKANDLTD,INE304A01026
MUKANDLTD,INE304A04012
MUKTAARTS,INE374B01019
MUNJALAU,INE672B01032
MUNJALSHOW,INE577A01027
MURUDCERA,INE692B01014
MUTHOOTCAP,INE296G01013
MUTHOOTFIN,INE414G01012
N100,INF247L01031
NABARD,INE261F07032
NACLIND,INE295D01020
NAGAFERT,INE454M01024
NAGREEKCAP,INE245I01016
NAGREEKEXP,INE123B01028
NAHARCAP,INE049I01012
NAHARINDUS,INE289A01011
NAHARPOLY,INE308A01027
NAHARSPING,INE290A01027
NAM-INDIA,INE298J01013
NATCOPHARM,INE987B01026
NATHBIOGEN,INE448G01010
NATIONALUM,INE139A01034
NATNLSTEEL,INE088B01015
NAUKRI,INE663F01024
NAVINFLUOR,INE048G01026
NAVKARCORP,INE278M01019
NAVNETEDUL,INE060A01024
NAZARA,INE418L01021
NBCC,INE095N01031
NBIFIN,INE365I01020
NBVENTURES,INE725A01022
NCC,INE868B01028
NCLIND,INE732C01016
NCPSESDL24,INF204KB18W4
NDGL,INE756C01015
NDL,INE875G01030
NDRAUTO,INE07OG01012
NDTV,INE155G01029
NECCLTD,INE553C01016
NECLIFE,INE023H01027
NELCAST,INE189I01024
NELCO,INE045B01015
NEOGEN,INE136S01016
NESCO,INE317F01035
NESTLEIND,INE239A01016
NETF,INF277K015R5
NETFCONSUM,INF204KA1LD7
NETFDIVOPP,INF204KA1MS3
NETFGILT5Y,INF204KC1030
NETFIT,INF204KB15V2
NETFLTGILT,INF204KB1882
NETFMID150,INF204KB1V68
NETFNIF100,INF204K014N5
NETFNV20,INF204KB18I3
NETFSDL26,INF204KC1022
NETWORK18,INE870H01013
NEULANDLAB,INE794A01010
NEWGEN,INE619B01017
NEXTMEDIA,INE747B01016
NFL,INE870D01012
NH,INE410P01011
NHAI,INE906B07CA1
NHAI,INE906B07CB9
NHAI,INE906B07DD3
NHAI,INE906B07DF8
NHAI,INE906B07EH2
NHAI,INE906B07EI0
NHAI,INE906B07EJ8
NHAI,INE906B07EO8
NHAI,INE906B07EP5
NHBTF2014,INE557F07132
NHBTF2023,INE557F07041
NHBTF2023,INE557F07199
NHPC,INE848E01016
NIACL,INE470Y01017
NIBL,INE047O01014
NIFTYBEES,INF204KB14I2
NIITLTD,INE161A01038
NILAINFRA,INE937C01029
NILASPACES,INE00S901012
NILKAMAL,INE310A01015
NIPPOBATRY,INE567A01010
NIRAJ,INE368I01016
NITCO,INE858F01012
NITINFIRE,INE489H01020
NITINSPIN,INE229H01012
NITIRAJ,INE439T01012
NKIND,INE542C01019
NLCINDIA,INE589A01014
NMDC,INE584A01023
NOCIL,INE163A01018
NOIDATOLL,INE781B01015
NORBTEAEXP,INE369C01017
NOVARTIND,INE234A01025
NPBET,INF277K010X4
NRAIL,INE740D01017
NRBBEARING,INE349A01021
NSIL,INE023A01030
NTL,INE333I01036
NTPC,INE733E01010
NTPC,INE733E07JJ9
NTPC,INE733E07JP6
NTPC,INE733E07JU6
NTPC,INE733E07JW2
NUCLEUS,INE096B01018
NURECA,INE0DSF01015
NXTDIGITAL,INE353A01023
OAL,INE959C01023
OBEROIRLTY,INE093I01010
OCCL,INE321D01016
OFSS,INE881D01027
OIL,INE274J01014
OILCOUNTUB,INE591A01010
OISL,INE196J01019
OLECTRA,INE260D01016
OMAXAUTO,INE090B01011
OMAXE,INE800H01010
OMINFRAL,INE239D01028
OMKARCHEM,INE474L01016
ONELIFECAP,INE912L01015
ONEPOINT,INE840Y01011
ONGC,INE213A01029
ONMOBILE,INE809I01019
ONWARDTEC,INE229A01017
OPTIEMUS,INE350C01017
OPTOCIRCUI,INE808B01016
ORBTEXP,INE231G01010
ORCHPHARMA,INE191A01027
ORICONENT,INE730A01022
ORIENTABRA,INE569C01020
ORIENTALTL,INE998H01012
ORIENTBELL,INE607D01018
ORIENTCEM,INE876N01018
ORIENTELEC,INE142Z01019
ORIENTHOT,INE750A01020
ORIENTLTD,INE609C01024
ORIENTPPR,INE592A01026
ORIENTREF,INE743M01012
ORISSAMINE,INE725E01024
ORTEL,INE849L01019
ORTINLAB,INE749B01020
OSWALAGRO,INE142A01012
PAEL,INE766A01018
PAGEIND,INE761H01022
PAISALO,INE420C01042
PALASHSECU,INE471W01019
PALREDTEC,INE218G01033
PANACEABIO,INE922B01023
PANACHE,INE895W01019
PANAMAPET,INE305C01029
PANSARI,INE697V01011
PAR,INE04LG01015
PARACABLES,INE074B01023
PARAGMILK,INE883N01014
PARSVNATH,INE561H01026
PARTYCRUS,INE06ZX01015
PATELENG,INE244B01030
PATINTLOG,INE529D01014
PATSPINLTD,INE790C01014
PAVNAIND,INE07S101020
PCJEWELLER,INE785M01013
PDMJEPAPER,INE865T01018
PDPL,INE904D01019
PDSMFL,INE111Q01013
PEARLPOLY,INE844A01013
PEL,INE140A01024
PENIND,INE932A01024
PENINLAND,INE138A01028
PENTAGOLD,INE175Y01012
PERSISTENT,INE262H01013
PETRONET,INE347G01014
PFC,INE134E01011
PFC,INE134E07190
PFC,INE134E07208
PFC,INE134E07422
PFC,INE134E07463
PFIZER,INE182A01018
PFOCUS,INE367G01038
PFS,INE560K01014
PGEL,INE457L01011
PGHH,INE179A01014
PGHL,INE199A01012
PGIL,INE940H01014
PHILIPCARB,INE602A01023
PHOENIXLTD,INE211B01039
PIDILITIND,INE318A01026
PIGL,INE557Z01018
PIIND,INE603J01030
PILANIINVS,INE417C01014
PILITA,INE600A01035
PIONDIST,INE889E01010
PIONEEREMB,INE156C01018
PITTIENG,INE450D01021
PKTEA,INE431F01018
PLASTIBLEN,INE083C01022
PNB,INE160A01022
PNBGILTS,INE859A01011
PNBHOUSING,INE572E01012
PNC,INE392B01011
PNCINFRA,INE195J01029
PODDARHOUS,INE888B01018
PODDARMENT,INE371C01013
POKARNA,INE637C01025
POLYCAB,INE455K01017
POLYMED,INE205C01021
POLYPLEX,INE633B01018
PONNIERODE,INE838E01017
POWERFUL,INE650Z01011
POWERGRID,INE752E01010
POWERINDIA,INE07Y701011
POWERMECH,INE211R01019
PPAP,INE095I01015
PPL,INE050001010
PRADIP,INE495J01015
PRAENG,INE505C01016
PRAJIND,INE074A01025
PRAKASH,INE603A01013
PRAKASHSTL,INE696K01024
PRAXIS,INE546Y01022
PRECAM,INE484I01029
PRECOT,INE283A01014
PRECWIRE,INE372C01029
PREMEXPLN,INE863B01011
PREMIER,INE342A01018
PREMIERPOL,INE309M01012
PRESSMN,INE980A01023
PRESTIGE,INE811K01011
PRICOLLTD,INE726V01018
PRIMESECU,INE032B01021
PRINCEPIPE,INE689W01016
PRIVISCL,INE959A01019
PROLIFE,INE994V01012
PROZONINTU,INE195N01013
PRSMJOHNSN,INE010A01011
PSB,INE608A01012
PSPPROJECT,INE488V01015
PSUBNKBEES,INF204KB16I7
PTC,INE877F01012
PTL,INE034D01031
PULZ,INE335X01014
PUNJABCHEM,INE277B01014
PUNJLLOYD,INE701B01021
PURVA,INE323I01011
PVR,INE191H01014
QGOLDHALF,INF082J01010
QNIFTY,INF082J01028
QUESS,INE615P01015
QUICKHEAL,INE306L01010
QUINTEGRA,INE033B01011
RADAAN,INE874F01027
RADICO,INE944F01028
RADIOCITY,INE919I01024
RAILTEL,INE0DD101019
RAIN,INE855B01025
RAJESHEXPO,INE343B01030
RAJMET,INE00KV01014
RAJRATAN,INE451D01011
RAJRAYON,INE533D01024
RAJSREESUG,INE562B01019
RAJTV,INE952H01027
RAJVIR,INE011H01014
RALLIS,INE613A01020
RAMANEWS,INE278B01020
RAMASTEEL,INE230R01027
RAMCOCEM,INE331A01037
RAMCOIND,INE614A01028
RAMCOSYS,INE246B01019
RAMKY,INE874I01013
RAMSARUP,INE005D01015
RANASUG,INE625B01014
RANEENGINE,INE222J01013
RANEHOLDIN,INE384A01010
RATNAMANI,INE703B01027
RAYMOND,INE301A01014
RBL,INE244J01017
RBLBANK,INE976G01028
RCF,INE027A01015
RCOM,INE330H01018
RECLTD,INE020B01018
RECLTD,INE020B07HS2
RECLTD,INE020B07GH7
REDINGTON,INE891D01026
REFEX,INE056I01017
REGENCERAM,INE277C01012
RELAXO,INE131B01039
RELCAPITAL,INE013A01015
RELIANCE,INE002A01018
RELIANCEPP,IN9002A01024
RELIGARE,INE621H01010
RELINFRA,INE036A01016
REMSONSIND,INE474C01015
RENUKA,INE087H01022
REPCOHOME,INE612J01015
REPL,INE364Z01019
REPRO,INE461B01014
RESPONIND,INE688D01026
REVATHI,INE617A01013
RGL,INE722H01016
RHFL,INE217K01011
RHFL,INE217K07AE0
RHFL,INE217K07AG5
RICOAUTO,INE209B01025
RIIL,INE046A01015
RITES,INE320J01015
RKDL,INE722J01012
RKEC,INE786W01010
RKFORGE,INE399G01015
RMCL,INE172H01014
RMDRIP,INE219Y01018
RML,INE050H01012
RNAVAL,INE542F01012
ROHITFERRO,INE248H01012
ROHLTD,INE283H01019
ROLLT,INE927A01040
ROLTA,INE293A01013
ROML,INE294G01026
ROSSARI,INE02A801020
ROSSELLIND,INE847C01020
ROUTE,INE450U01017
RPGLIFE,INE105J01010
RPOWER,INE614G01033
RPPINFRA,INE324L01013
RPPL,INE760W01015
RPSGVENT,INE425Y01011
RSSOFTWARE,INE165B01029
RSWM,INE611A01016
RSYSTEMS,INE411H01032
RTNINDIA,INE834M01019
RTNPOWER,INE399K01017
RUBYMILLS,INE301D01026
RUCHI,INE619A01035
RUCHINFRA,INE413B01023
RUCHIRA,INE803H01014
RUPA,INE895B01021
RUSHIL,INE573K01017
RVHL,INE09E501017
RVNL,INE415G01027
S&SPOWER,INE902B01017
SABEVENTS,INE860T01019
SABTN,INE416A01036
SADBHAV,INE226H01026
SADBHIN,INE764L01010
SAFARI,INE429E01023
SAGARDEEP,INE976T01013
SAGCEM,INE229C01013
SAIL,INE114A01011
SAKAR,INE732S01012
SAKHTISUG,INE623A01011
SAKSOFT,INE667G01015
SAKUMA,INE190H01024
SALASAR,INE170V01019
SALONA,INE498E01010
SALSTEEL,INE658G01014
SALZERELEC,INE457F01013
SAMBHAAV,INE699B01027
SANCO,INE782L01012
SANDESH,INE583B01015
SANDHAR,INE278H01035
SANGAMIND,INE495C01010
SANGHIIND,INE999B01013
SANGHVIMOV,INE989A01024
SANGINITA,INE753W01010
SANOFI,INE058A01010
SANWARIA,INE890C01046
SARDAEN,INE385C01013
SAREGAMA,INE979A01017
SARLAPOLY,INE453D01025
SARVESHWAR,INE324X01018
SASKEN,INE231F01020
SASTASUNDR,INE019J01013
SATHAISPAT,INE176C01016
SATIA,INE170E01023
SATIN,INE836B01017
SATINPP1,IN9836B01023
SBICARD,INE018E01016
SBIETFIT,INF200KA1S14
SBIETFPB,INF200KA1S22
SBIETFQLTY,INF200KA1WX6
SBILIFE,INE123W01016
SBIN,INE062A01020
SCAPDVR,INE224E01036
SCHAEFFLER,INE513A01014
SCHAND,INE807K01035
SCHNEIDER,INE839M01018
SCI,INE109A01011
SDBL,INE480C01020
SEAMECLTD,INE497B01018
SECL,INE00Y701018
SECURCRED,INE195Y01010
SECURKLOUD,INE650K01021
SELAN,INE818A01017
SEPOWER,INE735M01018
SEQUENT,INE807F01027
SESHAPAPER,INE630A01024
SETCO,INE878E01021
SETF10GILT,INF200KA1JT1
SETFGOLD,INF200K01099
SETFNIF50,INF200KA1FS1
SETFNIFBK,INF200KA1580
SETFNN50,INF200KA1598
SETUINFRA,INE023M01027
SEYAIND,INE573R01012
SFL,INE916U01025
SGBAPR28I,IN0020200062
SGBAUG24,IN0020160027
SGBAUG27,IN0020190107
SGBAUG28V,IN0020200161
SGBDC27VII,IN0020190461
SGBDEC25,IN0020170125
SGBDEC26,IN0020180389
SGBFEB24,IN0020150101
SGBFEB27,IN0020180561
SGBFEB28IX,IN0020190545
SGBFEB29XI,IN0020200393
SGBJ28VIII,IN0020190537
SGBJAN27,IN0020180462
SGBJAN29IX,IN0020200377
SGBJAN29X,IN0020200385
SGBJUL25,IN0020170034
SGBJUL27,IN0020190081
SGBJUL28IV,IN0020200146
SGBJUN27,IN0020190073
SGBJUN28,IN0020200104
SGBMAR24,IN0020150119
SGBMAR25,IN0020160126
SGBMAR28X,IN0020190552
SGBMAY25,IN0020170018
SGBMAY26,IN0020180033
SGBMAY28,IN0020200088
SGBMR29XII,IN0020200427
SGBN28VIII,IN0020200286
SGBNOV23,IN0020150085
SGBNOV24,IN0020160076
SGBNOV25VI,IN0020170083
SGBNOV26,IN0020180314
SGBOC28VII,IN0020200203
SGBOCT25,IN0020170059
SGBOCT25IV,IN0020170067
SGBOCT25V,IN0020170075
SGBOCT27,IN0020190370
SGBOCT27VI,IN0020190388
SGBSEP24,IN0020160043
SGBSEP27,IN0020190115
SGBSEP28VI,IN0020200195
SGL,INE353H01010
SHAHALLOYS,INE640C01011
SHAKTIPUMP,INE908D01010
SHALBY,INE597J01018
SHALPAINTS,INE849C01026
SHANKARA,INE274V01019
SHANTIGEAR,INE631A01022
SHARDACROP,INE221J01015
SHARDAMOTR,INE597I01028
SHAREINDIA,INE932X01018
SHARIABEES,INF732E01128
SHEMAROO,INE363M01019
SHIL,INE05AN01011
SHILPAMED,INE790G01031
SHIRPUR-G,INE196B01016
SHIVAMAUTO,INE637H01024
SHIVAMILLS,INE644Y01017
SHIVATEX,INE705C01020
SHK,INE500L01026
SHOPERSTOP,INE498B01024
SHRADHA,INE715Y01015
SHREDIGCEM,INE232A01011
SHREECEM,INE070A01015
SHREEPUSHK,INE712K01011
SHREERAMA,INE879A01019
SHRENIK,INE632X01030
SHREYANIND,INE231C01019
SHREYAS,INE757B01015
SHRIPISTON,INE526E01018
SHRIRAMCIT,INE722A01011
SHRIRAMEPC,INE964H01014
SHUBHLAXMI,INE01Z401013
SHYAMCENT,INE979R01011
SICAGEN,INE176J01011
SICAL,INE075B01012
SIDDHIKA,INE0A1E01018
SIEMENS,INE003A01024
SIGIND,INE529F01035
SIKKO,INE112X01017
SIL,INE173A01025
SILGO,INE01II01013
SILINV,INE923A01015
SILLYMONKS,INE203Y01012
SILVERTUC,INE625X01018
SIMBHALS,INE748T01016
SIMPLEXINF,INE059B01024
SINTERCOM,INE129Z01016
SINTEX,INE429C01035
SIRCA,INE792Z01011
SIS,INE285J01028
SITINET,INE965H01011
SIYSIL,INE076B01028
SJVN,INE002L01015
SKFINDIA,INE640A01023
SKIL,INE429F01012
SKIPPER,INE439E01022
SKMEGGPROD,INE411D01015
SMARTLINK,INE178C01020
SMCGLOBAL,INE103C01036
SMLISUZU,INE294B01019
SMPL,INE215G01021
SMSLIFE,INE320X01016
SMSPHARMA,INE812G01025
SMVD,INE702Y01013
SNOWMAN,INE734N01019
SOBHA,INE671H01015
SOFTTECH,INE728Z01015
SOLARA,INE624Z01016
SOLARINDS,INE343H01029
SOMANYCERA,INE355A01028
SOMATEX,INE314C01013
SOMICONVEY,INE323J01019
SONAMCLOCK,INE00LM01011
SONATSOFTW,INE269A01021
SORILINFRA,INE034H01016
SOTL,INE035D01012
SOUTHBANK,INE683A01023
SOUTHWEST,INE980Y01015
SPAL,INE212I01016
SPANDANA,INE572J01011
SPARC,INE232I01014
SPECIALITY,INE247M01014
SPECTRUM,INE01EO01010
SPENCERS,INE020801028
SPENTEX,INE376C01020
SPIC,INE147A01011
SPICEJET,INE285B01017
SPLIL,INE978G01016
SPMLINFRA,INE937A01023
SPTL,INE501W01021
SPYL,INE268L01020
SREEL,INE099F01013
SREIBNPNCD,INE881J07EN8
SREIBNPNCD,INE881J07EP3
SREIBNPNCD,INE881J08573
SREIBNPNCD,INE881J08581
SREIBNPNCD,INE881J08631
SREIBNPNCD,INE872A07UB7
SREIBNPNCD,INE872A07UJ0
SREIBNPNCD,INE872A07UQ5
SREIBNPNCD,INE872A08DI6
SREINFRA,INE872A01014
SRF,INE647A01010
SRHHYPOLTD,INE917H01012
SRIPIPES,INE943C01027
SRPL,INE008Z01012
SRTRANSFIN,INE721A01013
SRTRANSFIN,INE721A07HJ6
SRTRANSFIN,INE721A07HL2
SRTRANSFIN,INE721A07HO6
SRTRANSFIN,INE721A07NT3
SRTRANSFIN,INE721A07NV9
SRTRANSFIN,INE721A07NX5
SRTRANSFIN,INE721A07NY3
SRTRANSFIN,INE721A07NZ0
SRTRANSFIN,INE721A07OB9
SRTRANSFIN,INE721A07OD5
SRTRANSFIN,INE721A07OE3
SRTRANSFIN,INE721A07OF0
SRTRANSFIN,INE721A07OM6
SRTRANSFIN,INE721A07OO2
SRTRANSFIN,INE721A07OR5
SRTRANSFIN,INE721A07PB6
SRTRANSFIN,INE721A07PC4
SRTRANSFIN,INE721A07PD2
SRTRANSFIN,INE721A07PE0
SRTRANSFIN,INE721A07PL5
SSWL,INE802C01017
STAMPEDE,INE224E01028
STAR,INE939A01011
STARCEMENT,INE460H01021
STARPAPER,INE733A01018
STCINDIA,INE655A01013
STEELCITY,INE395H01011
STEELXIND,INE503B01013
STEL,INE577L01016
STERTOOLS,INE334A01023
STINDIA,INE090C01019
STLTECH,INE089C01029
STOVEKRAFT,INE00IN01015
SUBCAPCITY,INE845C01016
SUBEXLTD,INE754A01055
SUBROS,INE287B01021
SUDARSCHEM,INE659A01023
SUMEETINDS,INE235C01010
SUMICHEM,INE258G01013
SUMIT,INE748Z01013
SUMMITSEC,INE519C01017
SUNCLAYLTD,INE105A01035
SUNDARAM,INE108E01023
SUNDARMFIN,INE660A01013
SUNDARMHLD,INE202Z01029
SUNDRMBRAK,INE073D01013
SUNDRMFAST,INE387A01021
SUNFLAG,INE947A01014
SUNPHARMA,INE044A01036
SUNTECK,INE805D01034
SUNTV,INE424H01027
SUPERHOUSE,INE712B01010
SUPERSPIN,INE662A01027
SUPPETRO,INE663A01017
SUPRAJIT,INE399C01030
SUPREMEENG,INE319Z01013
SUPREMEIND,INE195A01028
SUPREMEINF,INE550H01011
SURANASOL,INE272L01022
SURANAT&P,INE130B01031
SURYALAXMI,INE713B01026
SURYAROSNI,INE335A01012
SURYODAY,INE428Q01011
SUTLEJTEX,INE645H01027
SUULD,INE591Q01016
SUVEN,INE495B01038
SUVENPHAR,INE03QK01018
SUVIDHAA,INE018401013
SUZLON,INE040H01021
SWANENERGY,INE665A01038
SWARAJENG,INE277A01016
SWELECTES,INE409B01013
SWSOLAR,INE00M201021
SYMPHONY,INE225D01027
SYNCOM,INE602K01014
SYNGENE,INE398R01022
TAINWALCHM,INE123C01018
TAJGVK,INE586B01026
TAKE,INE142I01023
TALBROAUTO,INE187D01011
TANLA,INE483C01032
TANTIACONS,INE388G01018
TARACHAND,INE555Z01012
TARAPUR,INE747K01017
TARC,INE0EK901012
TARMAT,INE924H01018
TASTYBITE,INE488B01017
TATACAPHSG,INE033L07GL1
TATACAPHSG,INE033L07GO5
TATACAPHSG,INE033L07GQ0
TATACAPHSG,INE033L07GU2
TATACAPHSG,INE033L08270
TATACHEM,INE092A01019
TATACOFFEE,INE493A01027
TATACOMM,INE151A01013
TATACONSUM,INE192A01025
TATAELXSI,INE670A01012
TATAINVEST,INE672A01018
TATAMETALI,INE056C01010
TATAMOTORS,INE155A01022
TATAMTRDVR,IN9155A01020
TATAPOWER,INE245A01021
TATASTEEL,INE081A01012
TATASTLBSL,INE824B01021
TATASTLLP,INE674A01014
TBZ,INE760L01018
TCFSL,INE306N07KD6
TCFSL,INE306N07KF1
TCFSL,INE306N08292
TCFSL,INE306N07LI3
TCFSL,INE306N07LK9
TCFSL,INE306N07LM5
TCI,INE688A01022
TCIDEVELOP,INE662L01016
TCIEXP,INE586V01016
TCIFINANCE,INE911B01018
TCNSBRANDS,INE778U01029
TCPLPACK,INE822C01015
TCS,INE467B01029
TDPOWERSYS,INE419M01019
TEAMLEASE,INE985S01024
TECHIN,INE778A01021
TECHM,INE669C01036
TECHNOE,INE285K01026
TECHNOFAB,INE509K01011
TEJASNET,INE010J01012
TEMBO,INE869Y01010
TERASOFT,INE482B01010
TEXINFRA,INE435C01024
TEXMOPIPES,INE141K01013
TEXRAIL,INE621L01012
TFCILTD,INE305A01015
TFL,INE804H01012
TGBHOTELS,INE797H01018
THANGAMAYL,INE085J01014
THEINVEST,INE924D01017
THEJO,INE121N01019
THEMISMED,INE083B01016
THERMAX,INE152A01029
THIRUSUGAR,INE409A01015
THOMASCOOK,INE332A01027
THOMASCOTT,INE480M01011
THYROCARE,INE594H01019
TI,INE133E01013
TIDEWATER,INE484C01022
TIIL,INE545H01011
TIINDIA,INE974X01010
TIJARIA,INE440L01017
TIL,INE806C01018
TIMESGTY,INE289C01025
TIMETECHNO,INE508G01029
TIMKEN,INE325A01013
TINPLATE,INE422C01014
TIPSINDLTD,INE716B01011
TIRUMALCHM,INE338A01024
TITAN,INE280A01028
TMRVL,INE759V01019
TNPETRO,INE148A01019
TNPL,INE107A01015
TNTELE,INE141D01018
TOKYOPLAST,INE932C01012
TORNTPHARM,INE685A01028
TORNTPOWER,INE813H01021
